,scenario,parameter,method,mae,r2,random_state
21,Recenter,1.5,no_alignment,1.1583883789742806,-0.23763823485219926,8322
22,Recenter,1.5,align_z_score,1.79109382796483,-1.745493264437012,8322
23,Recenter,1.5,align_recenter,0.1668120927762867,0.9359532924465864,8322
24,Recenter,1.5,align_recenter_rescale,0.05544463081809048,0.9963028585526791,8322
25,Recenter,1.5,align_procrustes,0.2304316348945208,0.9494414387138704,8322
26,Recenter,1.5,align_procrustes_paired,0.0036881854728606674,0.999986826482948,8322
27,Recenter,1.5,dummy,1.0,-0.011085804970001556,8322
28,Recenter,2.0,no_alignment,1.2419144215741835,-0.3888927816875869,8322
29,Recenter,2.0,align_z_score,2.0952539472452263,-2.769999683192291,8322
30,Recenter,2.0,align_recenter,0.22619220662244785,0.9034108168763079,8322
31,Recenter,2.0,align_recenter_rescale,0.08781187305956181,0.9908379533639522,8322
32,Recenter,2.0,align_procrustes,0.23043163493114793,0.949441438700324,8322
33,Recenter,2.0,align_procrustes_paired,0.003688185473774049,0.9999868264829409,8322
34,Recenter,2.0,dummy,1.0,-0.011085804970001556,8322
0,Recenter,0.0,no_alignment,0.0032772726631076546,0.9999894479912322,1685
1,Recenter,0.0,align_z_score,0.26306889672953515,0.9226493950636587,1685
2,Recenter,0.0,align_recenter,0.0032772726630686095,0.9999894479912326,1685
3,Recenter,0.0,align_recenter_rescale,0.003277272663042606,0.9999894479912328,1685
4,Recenter,0.0,align_procrustes,0.23810853907291385,0.945137738792907,1685
5,Recenter,0.0,align_procrustes_paired,0.003277272663042797,0.9999894479912328,1685
6,Recenter,0.0,dummy,1.0,-0.0007623884032315065,1685
7,Recenter,0.5,no_alignment,1.4770457594348168,-0.6810673275220831,1685
8,Recenter,0.5,align_z_score,0.7031710589100957,0.5362207366587786,1685
9,Recenter,0.5,align_recenter,0.028316207241588637,0.9960366008813111,1685
10,Recenter,0.5,align_recenter_rescale,0.006846174325529545,0.9999494905261379,1685
